iter	Accuracy	MultiClass
476	0.8970760234	0.2621121829
477	0.8970760234	0.2620269723
478	0.8972059779	0.2618889347
479	0.8972059779	0.2617299617
480	0.8972059779	0.2614982633
481	0.8972059779	0.2614340241
482	0.8972059779	0.2613907322
483	0.8973359324	0.2613294423
484	0.8974658869	0.2612846593
485	0.8974658869	0.2612415495
486	0.8975958415	0.2611342182
487	0.8974658869	0.2609890414
488	0.8973359324	0.2608875445
489	0.8974658869	0.2606434397
490	0.8973359324	0.2605220048
491	0.8973359324	0.260475726
492	0.8973359324	0.2603727787
493	0.8975958415	0.2602492129
494	0.8974658869	0.2601792007
495	0.897985705	0.2600662799
496	0.897985705	0.2598684908
497	0.897985705	0.2598204639
498	0.8981156595	0.2597107366
499	0.8981156595	0.2596256246
